Row.names,m1.md,m1.bl.tal,ratio_m1,m2.md,m2.bl.tal,ratio_m2,m3.md,m3.bl.tal,ratio_m3
Allenopithecus_nigroviridis,5.94,4.69,0.236276551,6.64625,5.46375,0.195917419,6.463125,4.69375,0.31988111
Alouatta_belzebul,7.0935,5.6605,0.225666644,7.6435,6.1545,0.216672092,8.407,5.485,0.427047598
Alouatta_caraya,6.568,5.7415,0.134488872,7.327,6.165,0.172678019,8.769,5.3695,0.49048798
Alouatta_guariba,6.842777778,5.545,0.210297136,7.450555556,6.050166667,0.208202781,8.657222222,5.393333333,0.473230289
Alouatta_palliata,7.023142857,5.804285714,0.190614257,7.779142857,6.403529412,0.194596851,8.149705882,5.414571429,0.408888106
Alouatta_pigra,7.097058824,5.244705882,0.302461284,7.700588235,5.949411765,0.258004369,8.517647059,5.215882353,0.490431867
Alouatta_seniculus,7.279,6.095135135,0.177502556,7.91,6.46625,0.201531439,8.766666667,5.644102564,0.440345444
Aotus_lemurinus,3.165,2.931538462,0.076625698,3.203076923,2.904615385,0.097810902,2.914615385,2.3508,0.214982172
Aotus_trivirgatus,3.2504,3.003478261,0.079007028,3.2536,2.89375,0.117208837,3.0668,2.550833333,0.18421457
Ateles_geoffroyi,5.343571429,4.935294118,0.079481967,5.31547619,5.010833333,0.059020366,4.9675,4.475833333,0.104224141
Ateles_paniscus,5.392068966,4.942222222,0.087114091,5.363793103,4.83862069,0.103041695,4.881851852,4.303333333,0.12613471
Brachyteles_arachnoides,7.60625,6.0125,0.235129642,7.56,5.944285714,0.240440816,6.96625,5.16875,0.29844618
Cacajao_calvus,4.577368421,4.326842105,0.056286282,4.441052632,4.267894737,0.039770758,4.059285714,3.63,0.111774377
Callicebus_moloch,3.397368421,3.3125,0.025297947,3.532105263,3.167777778,0.108863759,3.255263158,2.666842105,0.199378079
Callicebus_torquatus,3.53,3.414736842,0.03319744,3.574,3.206,0.108661363,3.328,2.4405,0.310168587
Callithrix_jacchus,2.3,1.925,0.177983155,1.903333333,1.533333333,0.21616272,NA,NA,NA
Callithrix_penicillata,2.48875,2.24625,0.102518417,2.06625,1.77625,0.15123097,NA,NA,NA
Callithrix_pygmaea,1.703888889,1.470833333,0.147084087,1.56,1.250810811,0.220893832,NA,NA,NA
Cebus_apella,4.788717949,4.619230769,0.036034533,4.489736842,4.222307692,0.061412265,3.534722222,3.370277778,0.047639549
Cebus_capucinus,4.749433962,4.463962264,0.061988673,4.348301887,4.106981132,0.057097157,3.895686275,3.36146,0.147494454
Cercocebus_agilis,7.295652174,6.349090909,0.138966939,8.214782609,7.28952381,0.119497066,8.655909091,6.485238095,0.288713688
Cercocebus_galeritus,6.75,5.37,0.228714596,7.37,5.87,0.227563072,7.75,5.12,0.414538404
Cercocebus_torquatus_atys,7.847179487,6.553421053,0.180166955,8.593589744,7.477692308,0.139092317,9.863589744,6.921842105,0.354168239
Cercopithecus_aethiops,6.372,4.916382979,0.259340299,6.896792453,5.644230769,0.200422521,6.814339623,5.052264151,0.29919267
Cercopithecus_aethiops_hilgerti,5.622424242,4.420645161,0.240477281,6.418484848,5.133333333,0.223426864,6.205454545,4.255757576,0.377155881
Cercopithecus_aethiops_ngamiensis,6.126486486,4.818235294,0.240213679,6.758378378,5.6325,0.182229583,6.61972973,4.767837838,0.328161624
Cercopithecus_ascanius_whitesidei,5.30372549,4.0134,0.278770734,5.683921569,4.7466,0.180212839,5.564117647,3.931568627,0.34729993
Cercopithecus_cephus_cephus,5.5995,4.19575,0.2886052,5.97775,4.7865,0.222244788,5.6375,4.01525,0.339341093
Cercopithecus_denti,5.31,4.245,0.223850015,6,5.375,0.110000895,6,4.75,0.233614851
Cercopithecus_diana,6.105172414,4.4225,0.322431202,6.588275862,4.900689655,0.295915744,6.359655172,4.199655172,0.414971738
Cercopithecus_diana_roloway,6.248333333,4.498333333,0.328607804,6.683333333,5.04,0.282210783,6.621666667,4.33,0.424779559
Cercopithecus_erythrogaster,5.603333333,4.246666667,0.277227297,6.04,4.976666667,0.193643689,5.705,3.956666667,0.365941063
Cercopithecus_erythrotis,5.31,3.81,0.331962646,5.56,4.375,0.239691588,5.5,3.81,0.367118903
Cercopithecus_erythrotis_camerunensis,5.594444444,4.291428571,0.265154364,6.046666667,4.824444444,0.225811569,5.63,4.081111111,0.32174016
Cercopithecus_lhoesti,6.395925926,4.805,0.286004171,6.788518519,5.428888889,0.223498243,6.613703704,4.683333333,0.345133708
Cercopithecus_mitis,6.3245,4.626111111,0.312714398,6.744,5.224736842,0.255248789,6.4445,4.564,0.345027622
Cercopithecus_mitis_stuhlmanni,6.364736842,4.725263158,0.297849632,6.968947368,5.635882353,0.212310471,6.602105263,4.815,0.315652532
Cercopithecus_mona,5.622,4.324814815,0.26231815,6.113666667,5.154666667,0.170624249,5.98,4.384333333,0.310382987
Cercopithecus_neglectus,6.142195122,4.55025641,0.299998605,6.700487805,5.33,0.228829092,6.681282051,4.69675,0.352439113
Cercopithecus_nictitans,6.063333333,4.349777778,0.332134946,6.685777778,5.099333333,0.270872738,6.394,4.463111111,0.359513969
Cercopithecus_petaurista,5.702941176,4.275714286,0.288030865,6.217647059,4.976470588,0.222670626,6.005294118,4.070588235,0.388853915
Cercopithecus_pogonias_grayi,5.512105263,4.198684211,0.272175438,5.917105263,5.156052632,0.137676061,5.646578947,4.063157895,0.329089388
Cercopithecus_pogonias,5.561333333,4.408333333,0.232341199,6.044666667,5.357692308,0.120642998,5.860666667,4.412857143,0.283741005
Cercopithecus_preussi,5.953571429,4.518333333,0.275848085,6.47,5.2,0.218517483,6.282857143,4.39,0.358495609
Cercopithecus_wolfi,5.295142857,4.024571429,0.27437153,5.741714286,4.880857143,0.162436973,5.648857143,4.059142857,0.330481417
Chiropotes_satanas,3.810294118,3.615454545,0.052488796,3.651515152,3.365806452,0.081474598,3.285,2.822333333,0.151802686
Piliocolobus_badius,7.236521739,5.493636364,0.275550271,7.608478261,5.990238095,0.239132026,9.422826087,5.86952381,0.473361545
Colobus_guereza,7.505333333,6.008666667,0.222411007,8.019777778,6.928,0.146339542,10.20272727,6.572,0.439836864
Colobus_guereza_occidentalis,7.1095,5.73625,0.214626231,7.4895,6.352,0.164732316,9.708,6.35,0.424495475
Piliocolobus_kirkii,6.292727273,4.770909091,0.276857694,6.564545455,5.202727273,0.232500304,8.031818182,5.18,0.43860587
Colobus_angolensis,7.062285714,5.554117647,0.240229184,7.542,6.347941176,0.172356863,9.213428571,6.042,0.421926964
Colobus_polykomos,7.2634,5.9278,0.20319489,7.427,6.5754,0.121786596,9.2722,6.35,0.378565863
Colobus_satanas,7.049111111,5.885555556,0.180400387,6.994222222,6.447333333,0.081417803,8.542727273,6.158863636,0.327188024
Erythrocebus_patas,6.914444444,5.326363636,0.26094386,7.981578947,6.150833333,0.260548681,7.768333333,5.426,0.358853427
Gorilla_gorilla_gorilla,15.7755,13.39088235,0.16388405,17.29375,14.67410256,0.164260955,17.15621622,13.53342105,0.23719831
Homo_sapiens,11.466,10.597,0.078815192,11.4035,10.417,0.090481239,11.7285,10.116,0.147903448
Nomascus_concolor,6.668666667,5.282857143,0.232952863,7.055666667,5.885862069,0.181277861,6.747777778,5.560384615,0.193545951
Bunopithecus_hoolock,6.991960784,5.785,0.189492669,7.771372549,6.562727273,0.169040537,7.546046512,6.277173913,0.18410392
Hylobates_klossii,6.04952381,4.761333333,0.239451819,6.073333333,5.033684211,0.18775544,5.245238095,4.3955,0.176739345
Hylobates_agilis,6.2325,5.145,0.191752167,6.4776,5.377272727,0.186168754,6.428,5.056190476,0.240050118
Hylobates_lar,6.28925,5.286153846,0.173750907,6.65175,5.676756757,0.158499902,6.635789474,5.459444444,0.195130612
Hylobates_pileatus,6.372,4.786666667,0.286079117,6.398,5.322,0.184136269,6.3725,5.405,0.164667406
Symphalangus_syndactylus,8.104444444,6.4896875,0.222198229,8.881509434,7.08875,0.225462504,8.77547619,6.712444444,0.267997851
Trachypithecus_johnii,6.206666667,5.123333333,0.191818714,6.728333333,5.871666667,0.136188943,7.54,5.956666667,0.235711142
Lagothrix_lagotricha,5.622173913,5.24,0.070396908,5.942608696,5.615789474,0.056566032,5.481304348,4.980454545,0.095821931
Leontopithecus_rosalia,3.145,2.72,0.14518201,2.861428571,2.35,0.196905672,NA,NA,NA
Lophocebus_aterrimus,6.669166667,5.500208333,0.192708944,7.35125,6.5125,0.12114696,8.090833333,5.434791667,0.397910546
Lophocebus_albigena,6.847619048,5.746666667,0.175281031,7.561904762,6.395238095,0.167569445,7.937619048,5.412857143,0.382836286
Macaca_brunnescens,9.11125,5.50125,0.504534575,8.54875,6.205,0.320429655,8.875714286,6.2675,0.347941264
Macaca_fascicularis,7.245,5.685,0.242480449,8.125,6.06,0.293235928,9.935,5.875,0.525357816
Macaca_fascicularis_fascicularis,6.215185185,4.756923077,0.267394474,7.169259259,5.464444444,0.271539879,8.464814815,5.146296296,0.497640849
Macaca_fuscata,7.746944444,6.098333333,0.239282991,9.055833333,7.2675,0.219996764,11.62277778,6.900833333,0.521324597
