Species,number,sex,m1 md,m2 md,m3 md,m1 bl tri,m1 bl tal,m2 bl tri,m2 bl tal,m3 bl tri,m3 bl tal
Alouatta_belzebul,92326,F,6.97,7.58,8.01,5.05,5.93,5.17,6.27,5.14,5.52
Alouatta_belzebul,92327,F,6.79,7.49,8.6,4.48,5.5,5.16,6.03,5.28,5.61
Alouatta_belzebul,92331,F,7.05,6.89,8.01,4.57,5.43,5.37,5.78,5.38,5.17
Alouatta_belzebul,93680,F,6.17,6.38,7.32,4.32,4.82,4.94,5.39,5.37,4.87
Alouatta_belzebul,93681,F,5.96,6.97,6.72,4.13,4.92,4.74,5.42,5.04,5.08
Alouatta_belzebul,95031,F,7.35,7.35,7.93,5.22,5.79,5.4,5.83,5.32,5.38
Alouatta_belzebul,95308,F,7.07,7.78,8.14,4.72,5.52,5.24,6.23,4.82,5.17
Alouatta_belzebul,95310,F,6.99,7.34,7.99,4.91,5.07,4.97,5.71,4.91,5.45
Alouatta_belzebul,95312,F,7.02,7.91,8.59,4.96,5.07,5.48,6.02,5.51,5.32
Alouatta_belzebul,95892,F,7.07,7.07,8.32,4.81,5.99,4.96,6.19,5.46,5.3
Alouatta_belzebul,93096,M,6.95,7.54,9.16,5.15,6.18,5.43,6.43,5.65,6.01
Alouatta_belzebul,93098,M,7.1,7.62,8.21,5.38,6.06,5.41,6.54,5.66,5.74
Alouatta_belzebul,93679,M,7.53,7.98,8.87,5.58,5.87,5.87,6,5.75,5.48
Alouatta_belzebul,93682,M,7.1,8.37,8.37,5.53,6.03,5.45,6.35,5.57,5.57
Alouatta_belzebul,95028,M,8.02,8.54,9.63,5.19,5.85,5.57,6.45,5.69,5.82
Alouatta_belzebul,95029,M,7.35,8.34,8.76,5.41,6.12,6.23,7.04,6.14,5.9
Alouatta_belzebul,95030,M,7.63,8.33,9.67,5.73,6.18,6.32,7.13,5.96,6.3
Alouatta_belzebul,95311,M,7.92,8.12,8.97,5.37,6.13,5.58,6.43,5.58,5.66
Alouatta_belzebul,95886,M,6.64,7.35,7.86,,5.15,5.19,5.84,5.45,5.04
Alouatta_belzebul,95891,M,7.19,7.92,9.01,5.09,5.6,5.73,6.01,5.81,5.31
Alouatta_caraya,209919,F,6.45,7.1,8.04,4.64,5.36,4.9,6.11,5.08,4.85
Alouatta_caraya,211495,F,6.23,6.61,8.25,4.69,5.43,5.2,5.97,5.38,5.07
Alouatta_caraya,211497,F,6.03,6.61,8.72,4.22,5.59,4.85,5.76,4.91,4.96
Alouatta_caraya,211501,F,6.33,6.77,8.75,4.37,5.4,4.97,5.74,5.14,5.26
Alouatta_caraya,211502,F,6.69,6.94,9.24,4.65,5.79,5.2,5.8,5.29,5.42
Alouatta_caraya,211506,F,6.26,7.15,8.55,4.68,5.31,4.98,5.82,5.01,5.07
Alouatta_caraya,211507,F,6.22,7.6,8.64,4.59,5.24,5.07,6.23,4.59,4.92
Alouatta_caraya,211512,F,6.02,7,8.99,4.62,5.62,4.96,6.06,4.51,5.23
Alouatta_caraya,211520,F,6.17,6.73,8.27,4.03,4.83,4.33,5.36,4.14,4.43
Alouatta_caraya,211524,F,6.25,6.78,8.41,4.24,5.52,4.6,5.69,4.78,5.41
Alouatta_caraya,209917,M,6.86,7.57,9.83,4.84,5.92,5.09,6.52,5.48,5.78
Alouatta_caraya,209918,M,6.92,7.7,8.64,5.12,5.83,5.57,6.47,4.93,5.46
